pathway,n_rise,n_recovery,rise_onco,rise_TSG,recovery_TSG,recovery_onco,rise_in_CGC,recovery_in_CGC,coupled,anti_coupled
NF-κB,7,5,3,0,3,0,3,3,6,0
p53,5,4,0,3,0,3,3,3,0,6
ERK/MAPK,9,9,8,0,1,0,8,1,9,0
Wnt,7,6,1,0,4,0,1,4,5,0
Notch,7,5,3,0,1,0,3,1,4,0
Circadian,3,7,0,0,0,0,0,0,0,0
Hippo,5,7,2,0,3,0,2,3,5,0
mTOR,9,7,7,1,7,0,8,7,14,1
JAK/STAT,7,7,6,0,3,0,6,3,9,0
TGF-β,5,6,0,3,0,2,3,2,0,5
NRF2/Oxidative,3,4,2,0,2,0,2,2,4,0
Hedgehog,5,4,3,0,2,0,3,2,5,0
UPR/IRE1,3,3,0,0,0,0,0,0,0,0
Calcium,5,3,2,0,0,0,2,0,2,0
